Name,Region,Zone,Project ID
gce-p-platformtools-arc-jumphost-linux-eu-0,europe-west2,europe-west2-a,prj-c-platformtools-fn8z
europe-west2-microgateway-instance-hb81,europe-west2,europe-west2-a,prj-n-swift-6f8h
europe-west2-microgateway-mig,europe-west2,N/A,prj-n-swift-6f8h
us-east4-perf-mgw-instance-h10c,us-east4,us-east4-a,prj-n-swift-6f8h
us-east4-perf-mgw-mig,us-east4,N/A,prj-n-swift-6f8h
gce-n-uudo-bastionhost-linux-eu-1,us-east4,us-east4-a,prj-n-uudo-qs2e
gce-n-vault-jumpbox-linux-euw2,europe-west2,europe-west2-a,prj-n-vault-gvez
gce-n-vault-runner-linux-euw2,europe-west2,europe-west2-a,prj-n-vault-gvez
otm-break-resolution-experiment,europe-west2,europe-west2-a,prj-p-ai-glzl
gce-p-bindpln-runner-linux-use4,us-east4,us-east4-a,prj-p-bindpln-j70m
gce-p-bindpln-jumpbox-linux-use4,us-east4,us-east4-a,prj-p-bindpln-j70m
us-east4-sic-instance-db7j,us-east4,us-east4-a,prj-p-sap-int-qoub
us-east4-sic-mig,us-east4,N/A,prj-p-sap-int-qoub
osttra-sftp-gw-deployment,europe-west2,europe-west2-a,prj-p-sftp-7jze
osttra-sftp-gw-group,europe-west2,N/A,prj-p-sftp-7jze
us-east4-microgateway-instance-wh3x,us-east4,us-east4-c,prj-p-swift-c85z
us-east4-microgateway-mig,us-east4,N/A,prj-p-swift-c85z
gce-p-uudo-bastionhost-linux-eu-1,us-east4,us-east4-a,prj-p-uudo-zuvr
gce-p-vault-runner-linux-euw2,europe-west2,europe-west2-a,prj-p-vault-ac2p
gce-pl-uudo-bastionhost-linux-eu-1,us-east4,us-east4-a,prj-pl-uudo-4siy
otm-break-resolution-experiment,europe-west2,europe-west2-a,prj-s-ai-4kdn
gpu-otm-break-resolution-experiment,europe-west2,europe-west2-a,prj-s-ai-4kdn
cortex-tanium-test-gce,us-central1,us-central1-a,prj-s-apgtest-qrru
vmi-s-dbs-dev-1,europe-west2,europe-west2-c,prj-s-dbs-4e5e
instance-20240221-151035-test-vm-kc,europe-west2,europe-west2-c,prj-s-lztests-vjp7
instance-20240612-081557,us-central1,us-central1-b,prj-s-lztests-vjp7
wordpress-linux-instance-poc,europe-west2,europe-west2-b,prj-s-mohit-flpy
